dataset,stem_group,genre_sub,split,files,total_h,active_h,active_frac,n_segments,seg_p25_s,seg_p50_s,seg_p75_s,gap_p25_s,gap_p50_s,gap_p75_s,gap_p95_s
71470,아쟁,FS3,train,20.0,0.08,0.08,0.9979,20.0,10.13,14.19,16.79,,,,
71470,양금,C09,train,1.0,0.01,0.01,0.998,1.0,19.6,19.6,19.6,,,,
71470,양금,CR1,train,14.0,0.06,0.06,0.9956,15.0,10.26,13.06,20.56,0.14,0.14,0.14,0.14
71470,양금,CR2,train,25.0,0.07,0.06,0.9959,25.0,8.97,8.97,9.02,,,,
71470,양금,E01,train,6.0,0.03,0.03,0.9985,6.0,8.96,16.19,21.29,,,,
71470,양금,E03,train,1.0,0.01,0.01,0.9967,2.0,10.35,14.95,19.55,0.09,0.09,0.09,0.09
71470,양금,E04,train,20.0,0.05,0.05,0.9968,20.0,4.32,5.91,7.56,,,,
71470,양금,E05,train,5.0,0.02,0.02,0.998,5.0,14.17,14.9,15.04,,,,
71470,타악기,C01,train,1.0,0.0,0.0,0.9018,1.0,13.62,13.62,13.62,,,,
71470,타악기,C09,train,1.0,0.0,0.0,0.9464,2.0,4.58,6.99,9.41,0.64,0.64,0.64,0.64
71470,타악기,CR1,train,28.0,0.1,0.07,0.6999,136.0,0.53,1.1,1.81,0.32,0.78,1.47,1.99
71470,타악기,CR2,train,24.0,0.06,0.05,0.8956,55.0,0.9,1.52,5.57,0.09,0.23,0.37,1.47
71470,타악기,E01,train,15.0,0.08,0.04,0.4902,94.0,0.55,1.45,2.01,0.44,0.78,1.54,3.9
71470,타악기,E04,train,11.0,0.04,0.03,0.6059,69.0,1.24,1.47,1.7,0.23,0.85,1.38,1.74
71470,타악기,F02,train,59.0,0.13,0.12,0.9105,142.0,1.33,2.28,4.74,0.18,0.37,0.67,1.46
71470,타악기,F04,train,9.0,0.01,0.01,0.9918,9.0,2.81,2.85,3.04,,,,
71470,타악기,F05,train,173.0,0.39,0.39,0.9859,191.0,4.12,7.04,9.06,0.14,0.18,0.23,1.24
71470,타악기,F06,train,1.0,0.0,0.0,0.9964,1.0,8.1,8.1,8.1,,,,
71470,타악기,F07,train,278.0,1.05,0.99,0.9454,749.0,0.83,2.94,8.42,0.09,0.18,0.34,0.97
71470,타악기,F11,train,2.0,0.0,0.0,0.7253,24.0,0.41,0.46,0.46,0.09,0.09,0.31,0.37
71470,타악기,F13,train,69.0,0.17,0.15,0.9097,133.0,1.7,2.39,4.92,0.31,0.55,0.74,1.33
71470,타악기,FS2,train,15.0,0.03,0.03,0.9144,21.0,1.79,5.98,7.31,0.86,1.31,1.76,1.87
71470,피리,C01,train,12.0,0.03,0.03,0.9452,16.0,4.67,6.05,7.57,0.23,0.28,0.29,0.32
71470,피리,C03,train,3.0,0.02,0.02,0.9311,6.0,8.0,9.29,11.37,0.34,0.41,0.51,0.58
71470,피리,C05,train,2.0,0.02,0.02,0.9544,6.0,8.81,10.17,13.21,0.29,0.46,0.62,0.68
71470,피리,C09,train,12.0,0.03,0.03,0.9968,12.0,4.96,5.01,10.9,,,,
71470,피리,CR1,train,13.0,0.05,0.05,0.9788,18.0,6.66,9.5,11.96,0.18,0.28,0.51,0.8
71470,피리,CR2,train,25.0,0.08,0.08,0.9814,38.0,4.44,7.18,9.86,0.05,0.14,0.32,0.46
71470,피리,E01,train,475.0,2.79,2.66,0.955,982.0,4.92,8.37,12.33,0.28,0.41,0.55,2.07
71470,피리,E02,train,3.0,0.02,0.02,0.9662,8.0,6.28,8.0,9.58,0.14,0.14,0.28,0.31
71470,피리,E04,train,38.0,0.17,0.17,0.961,100.0,4.81,5.45,7.49,0.18,0.28,0.36,0.46
71470,피리,F01,train,177.0,0.58,0.57,0.9796,220.0,5.77,8.35,10.67,0.16,0.28,0.41,1.18
71470,피리,F02,train,12.0,0.04,0.04,0.9482,29.0,2.9,3.73,5.7,0.14,0.23,0.32,0.75
71470,피리,F06,train,72.0,0.28,0.27,0.9761,115.0,4.99,7.04,10.21,0.14,0.18,0.32,0.6
71470,피리,FS2,train,72.0,0.32,0.31,0.9676,119.0,2.9,6.21,11.13,0.14,0.46,0.78,1.54
71470,해금,C09,train,12.0,0.03,0.03,0.9969,12.0,4.92,4.92,9.82,,,,
71470,해금,CR1,train,49.0,0.18,0.18,0.9846,57.0,6.44,8.88,15.36,0.22,0.62,1.1,1.77
71470,해금,CR2,train,225.0,0.87,0.86,0.9867,240.0,6.06,10.44,16.38,0.3,0.41,1.52,3.52
71470,해금,E01,train,358.0,2.03,2.02,0.9968,385.0,13.8,20.06,23.87,0.09,0.18,0.39,0.57
71470,해금,E04,train,42.0,0.15,0.15,0.9973,42.0,8.06,10.76,17.53,,,,
71470,해금,E05,train,243.0,0.97,0.96,0.9896,246.0,8.66,11.78,17.17,0.14,0.18,0.55,0.85
71470,해금,F01,train,29.0,0.05,0.05,0.9969,29.0,4.78,5.89,5.98,,,,
71470,해금,F02,train,34.0,0.11,0.11,0.9976,34.0,10.79,11.96,12.7,,,,
71470,해금,F06,train,89.0,0.38,0.38,0.9932,91.0,10.42,14.17,16.01,0.06,0.07,0.08,0.09
71470,해금,FS1,train,146.0,0.62,0.62,0.995,152.0,8.14,12.56,16.24,0.31,0.62,1.35,1.63
71470,해금,FS2,train,28.0,0.1,0.1,0.9648,48.0,2.98,6.76,9.13,0.08,0.18,0.33,0.93
71470,해금,FS3,train,36.0,0.11,0.11,0.984,39.0,6.21,8.23,12.72,0.67,0.69,0.74,0.77
71955,pitched_percussion,궁중음악,test,12.0,0.59,0.52,0.8822,370.0,2.07,3.54,6.85,0.18,0.37,0.55,1.75
71955,pitched_percussion,궁중음악,train,36.0,1.93,1.69,0.8757,1098.0,2.59,4.55,6.35,0.28,0.41,0.6,2.02
71955,pitched_percussion,궁중음악,val,3.0,0.29,0.27,0.9122,169.0,1.66,3.27,5.57,0.24,0.37,0.55,0.94
71955,가야금,궁중음악,test,1.0,0.32,0.32,0.9998,1.0,1151.75,1151.75,1151.75,,,,
71955,가야금,궁중음악,train,12.0,1.19,1.17,0.9843,85.0,2.07,2.9,5.29,0.6,0.92,1.1,1.44
71955,가야금,궁중음악,val,1.0,0.32,0.32,0.9988,2.0,517.94,575.32,632.71,1.1,1.1,1.1,1.1
71955,가야금,민요,test,11.0,0.72,0.72,0.9979,16.0,76.39,205.67,225.07,0.05,0.05,0.14,0.32
71955,가야금,민요,train,56.0,3.75,3.74,0.9991,64.0,175.04,224.89,270.11,0.63,0.94,1.05,1.75
71955,가야금,민요,val,8.0,0.49,0.49,0.9997,8.0,197.03,217.99,234.91,,,,
71955,가야금,산조,test,4.0,0.17,0.17,0.9945,4.0,107.96,153.82,195.72,,,,
71955,가야금,산조,train,35.0,1.94,1.93,0.994,44.0,63.33,121.56,263.37,0.09,0.69,1.24,1.62
71955,가야금,산조,val,7.0,0.36,0.36,0.9895,9.0,65.96,139.93,232.16,0.48,0.83,1.17,1.45
71955,가야금,창작국악,test,39.0,2.34,1.71,0.7293,237.0,3.04,10.35,28.38,0.32,3.06,6.24,33.67
71955,가야금,창작국악,train,161.0,9.45,7.25,0.7673,1093.0,4.92,11.91,27.88,1.06,2.39,5.66,26.66
71955,가야금,창작국악,val,26.0,1.41,1.11,0.7864,127.0,7.84,21.8,31.92,0.74,2.53,5.8,17.39
71955,가야금,판소리,test,40.0,2.16,2.13,0.9837,171.0,5.08,15.18,44.99,0.14,0.41,0.87,2.3
71955,가야금,판소리,train,202.0,13.47,13.11,0.9735,1362.0,5.7,12.67,34.88,0.23,0.6,1.24,2.67
71955,가야금,판소리,val,27.0,1.53,1.5,0.9809,120.0,7.64,26.66,56.86,0.09,0.37,1.1,2.02
71955,가야금,풍류음악,test,10.0,0.69,0.69,0.9986,11.0,127.88,240.44,322.14,0.05,0.05,0.05,0.05
71955,가야금,풍류음악,train,44.0,3.17,3.16,0.9967,80.0,11.28,100.03,288.37,0.32,0.74,0.97,1.01
71955,가야금,풍류음악,val,8.0,0.47,0.47,0.9987,8.0,129.04,196.42,287.51,,,,
71955,거문고,궁중음악,test,1.0,0.32,0.32,0.9975,4.0,103.96,192.23,375.56,0.32,0.55,1.22,1.75
71955,거문고,궁중음악,train,12.0,1.19,1.18,0.9936,58.0,2.88,8.42,30.27,0.18,0.32,0.57,1.51
71955,거문고,궁중음악,val,1.0,0.32,0.32,0.9952,7.0,15.32,82.62,201.5,0.46,0.71,1.21,1.56
71955,거문고,민요,test,11.0,0.72,0.72,0.9977,13.0,205.21,215.92,251.57,0.14,0.23,0.32,0.4
71955,거문고,민요,train,56.0,3.75,3.74,0.9995,59.0,196.28,228.44,266.2,0.07,0.09,0.12,0.13
71955,거문고,민요,val,8.0,0.49,0.49,0.9997,8.0,197.03,217.99,234.91,,,,
71955,거문고,산조,test,19.0,0.96,0.95,0.9885,19.0,15.43,263.21,289.69,,,,
71955,거문고,산조,train,51.0,2.59,2.57,0.9894,67.0,20.56,53.82,298.06,0.16,0.18,0.23,0.23
71955,거문고,산조,val,5.0,0.19,0.19,0.9874,5.0,10.26,25.67,288.28,,,,
71955,거문고,창작국악,test,20.0,1.23,0.9,0.7357,156.0,6.53,11.11,25.37,1.35,3.86,8.15,27.14
71955,거문고,창작국악,train,106.0,6.5,4.78,0.736,1089.0,3.04,6.44,16.05,0.69,2.67,5.7,17.53
71955,거문고,창작국악,val,15.0,0.78,0.6,0.7706,89.0,0.92,4.78,21.02,1.54,3.08,8.79,11.82
71955,거문고,판소리,test,40.0,2.16,2.14,0.9883,116.0,10.14,33.23,93.03,0.18,0.46,0.93,1.56
