dataset,stem_group,genre_sub,split,files,total_h,active_h,active_frac,n_segments,seg_p25_s,seg_p50_s,seg_p75_s,gap_p25_s,gap_p50_s,gap_p75_s,gap_p95_s
71955,타악기,풍류음악,val,11.0,0.62,0.45,0.7345,767.0,1.01,1.75,2.3,0.37,0.6,0.83,1.29
71955,피리,궁중음악,test,7.0,0.7,0.66,0.947,268.0,4.9,6.95,9.04,0.14,0.32,0.46,1.61
71955,피리,궁중음악,train,28.0,2.32,2.18,0.9418,541.0,5.43,7.96,11.87,0.14,0.32,0.6,2.98
71955,피리,궁중음악,val,5.0,0.61,0.56,0.9168,227.0,4.19,7.13,10.28,0.18,0.34,0.63,2.07
71955,피리,대풍류,test,3.0,0.22,0.21,0.9643,8.0,27.05,43.59,97.26,1.38,1.43,3.17,3.36
71955,피리,대풍류,train,16.0,1.2,1.13,0.947,125.0,10.58,20.98,33.03,0.14,0.64,2.25,4.86
71955,피리,대풍류,val,2.0,0.1,0.1,0.9893,7.0,13.68,42.83,78.13,0.14,0.14,0.14,0.36
71955,피리,민요,test,11.0,0.72,0.71,0.9911,33.0,13.25,21.44,134.96,0.09,0.53,1.15,1.2
71955,피리,민요,train,56.0,3.75,3.74,0.9974,129.0,13.89,50.51,196.19,0.09,0.23,0.64,0.87
71955,피리,민요,val,8.0,0.49,0.49,0.9996,9.0,179.95,205.67,230.32,0.18,0.18,0.18,0.18
71955,피리,산조,test,2.0,0.09,0.09,0.9832,2.0,83.32,156.38,229.44,,,,
71955,피리,산조,train,21.0,1.41,1.4,0.9887,69.0,20.47,40.16,42.96,0.18,0.28,0.51,0.55
71955,피리,산조,val,5.0,0.35,0.34,0.9766,12.0,39.33,39.33,101.57,1.15,1.15,1.17,1.26
71955,피리,창작국악,test,32.0,1.7,0.96,0.564,340.0,3.82,6.53,11.68,0.18,0.78,6.58,26.86
71955,피리,창작국악,train,169.0,10.14,5.44,0.5366,2158.0,2.76,5.43,10.49,0.46,2.12,6.35,27.35
71955,피리,창작국악,val,24.0,1.37,0.89,0.6498,210.0,3.77,8.65,20.98,1.06,4.12,7.46,14.78
71955,피리,판소리,test,40.0,2.16,2.02,0.9333,656.0,3.73,6.58,12.43,0.18,0.51,1.01,2.44
71955,피리,판소리,train,202.0,13.47,12.4,0.9209,4301.0,4.14,7.27,12.56,0.23,0.6,1.1,2.62
71955,피리,판소리,val,27.0,1.53,1.44,0.9421,458.0,3.86,7.91,15.18,0.14,0.28,0.78,2.35
71955,피리,풍류음악,test,16.0,1.01,0.97,0.9584,175.0,5.22,8.92,14.24,0.14,0.28,0.6,2.58
71955,피리,풍류음악,train,78.0,5.36,5.15,0.9601,557.0,7.18,10.72,28.57,0.14,0.28,1.38,6.81
71955,피리,풍류음악,val,10.0,0.59,0.59,0.9855,31.0,8.9,25.58,84.55,0.09,0.18,0.78,1.89
71955,해금,궁중음악,test,7.0,0.7,0.69,0.9917,17.0,1.24,63.94,97.93,0.32,0.69,0.86,0.95
71955,해금,궁중음악,train,28.0,2.32,2.3,0.9916,55.0,31.6,67.9,200.77,0.78,0.78,0.83,0.87
71955,해금,궁중음악,val,5.0,0.61,0.61,0.9958,12.0,40.85,45.49,189.99,0.05,0.05,0.6,0.6
71955,해금,대풍류,test,3.0,0.22,0.21,0.989,3.0,204.65,259.99,310.91,,,,
71955,해금,대풍류,train,16.0,1.2,1.18,0.9873,31.0,58.42,118.54,192.99,0.09,0.18,0.48,0.98
71955,해금,대풍류,val,2.0,0.1,0.09,0.9557,4.0,15.73,44.69,114.39,3.91,7.27,10.63,13.31
71955,해금,민요,test,11.0,0.72,0.72,0.9943,28.0,13.5,42.18,205.4,0.23,0.41,0.83,0.97
71955,해금,민요,train,56.0,3.75,3.74,0.9979,83.0,57.5,185.7,246.77,0.16,0.41,1.17,1.72
71955,해금,민요,val,8.0,0.49,0.49,0.9996,8.0,197.03,217.95,234.91,,,,
71955,해금,산조,train,14.0,0.67,0.67,0.9969,14.0,38.66,143.15,296.45,,,,
71955,해금,창작국악,test,30.0,1.7,0.93,0.5436,280.0,2.71,5.38,14.08,0.83,4.0,9.11,32.61
71955,해금,창작국악,train,146.0,8.96,5.37,0.5992,1598.0,2.76,6.03,13.71,0.6,2.35,6.58,30.96
71955,해금,창작국악,val,19.0,1.04,0.73,0.7041,143.0,4.74,10.26,19.46,0.4,2.48,6.38,23.08
71955,해금,판소리,test,40.0,2.16,2.09,0.9642,380.0,3.79,10.37,24.84,0.14,0.41,0.83,1.98
71955,해금,판소리,train,202.0,13.47,12.94,0.9606,2340.0,3.77,8.65,19.84,0.18,0.46,1.01,2.44
71955,해금,판소리,val,27.0,1.53,1.47,0.9598,351.0,2.25,5.61,12.28,0.18,0.28,0.6,2.19
71955,해금,풍류음악,test,16.0,1.01,1.01,0.995,31.0,28.84,94.58,185.03,0.14,0.18,1.01,2.23
71955,해금,풍류음악,train,78.0,5.36,5.3,0.9892,180.0,3.85,64.72,146.46,0.24,0.71,1.82,4.65
71955,해금,풍류음악,val,10.0,0.59,0.59,0.9893,17.0,79.58,93.61,145.73,0.62,0.83,1.47,2.53
