song_id,genre,htdemucs_drums_pct,htdemucs_bass_pct,htdemucs_other_pct,htdemucs_vocals_pct,htdemucs_tak_drums_sisdr,bsroformer_drums_pct,bsroformer_bass_pct,bsroformer_other_pct,bsroformer_vocals_pct,bsroformer_tak_drums_sisdr
0006_정악_풍류음악,풍류음악,0.0511,0.0159,89.359,10.5739,-13.1271,0.5629,1.1114,76.1989,22.1268,-9.8083
0017_정악_풍류음악,풍류음악,0.0921,0.6553,91.4858,7.7668,-11.2517,0.0548,1.4608,68.577,29.9074,-12.9817
0038_정악_풍류음악,풍류음악,0.0809,2.7394,59.7254,37.4543,-17.0128,0.8944,6.0791,24.328,68.6985,-10.1431
0058_정악_풍류음악,풍류음악,12.0473,3.6896,84.259,0.0041,4.9815,2.3847,12.0567,82.3726,3.1859,-2.5215
0093_정악_풍류음악,풍류음악,1.663,4.7853,73.0308,20.5209,-8.2959,1.4253,15.2851,47.9163,35.3733,-10.3195
0097_정악_풍류음악,풍류음악,2.9245,0.7458,67.9335,28.3963,-4.3495,0.7704,14.1294,52.925,32.1752,-14.2156
0101_정악_풍류음악,풍류음악,0.2249,18.306,34.6264,46.8427,-17.6234,0.1776,18.208,40.7756,40.8388,-19.8528
0107_정악_풍류음악,풍류음악,1.5025,26.7976,4.4167,67.2831,-10.32,0.645,28.2993,3.4293,67.6263,-15.6806
0109_정악_풍류음악,풍류음악,0.6151,30.6933,13.7436,54.9479,-16.5058,0.7041,29.6933,4.4941,65.1085,-16.0636
0121_정악_풍류음악,풍류음악,0.0562,15.0222,54.9381,29.9834,-43.1469,0.4624,15.2781,32.3732,51.8864,-22.0212
0125_정악_궁중음악,궁중음악,0.0922,0.5295,98.3736,1.0047,-14.2353,0.4038,3.2828,86.3223,9.9911,-21.8958
0132_정악_궁중음악,궁중음악,3.037,5.5031,91.458,0.002,-6.1734,7.1764,18.3995,74.4231,0.001,-20.5475
0135_정악_궁중음악,궁중음악,0.6149,1.6133,97.769,0.0028,-11.1677,1.208,18.3747,80.402,0.0153,-15.5778
0154_정악_궁중음악,궁중음악,3.4678,7.2455,85.2413,4.0455,-9.3911,2.4073,11.0369,81.0888,5.467,-11.2345
0163_정악_궁중음악,궁중음악,6.9058,18.8697,74.0472,0.1774,-8.3929,2.1483,22.8758,73.7353,1.2406,-12.782
0176_민속악_산조,산조,3.1917,7.7647,89.0397,0.0038,-9.1122,3.5529,28.6713,67.5387,0.2371,-6.9524
0196_민속악_산조,산조,3.3892,0.8642,95.7423,0.0043,-9.4817,4.2788,32.4833,63.2206,0.0173,-9.0009
0210_민속악_산조,산조,19.285,25.336,55.3774,0.0017,-2.0254,14.5856,49.418,35.9459,0.0505,-4.0575
0212_민속악_산조,산조,5.4444,2.8277,91.727,0.0009,-5.8988,32.0774,10.1427,57.6399,0.14,4.6435
0214_민속악_산조,산조,12.8252,4.1113,83.0629,0.0007,-2.4003,39.9702,6.9956,52.6954,0.3389,6.5822
0222_민속악_산조,산조,0.9359,45.7394,53.3238,0.001,-16.3035,1.097,52.2672,46.5009,0.135,-15.7992
0227_민속악_산조,산조,4.4883,15.5791,79.9224,0.0103,-11.7539,21.2349,51.8219,11.5788,15.3643,-24.8301
